test_idx,degree,format,learning_rate,max_iter,cycles,hw_loss,golden_loss,max_abs_err_vs_golden,mean_abs_err_vs_golden,max_abs_err_vs_true,mean_abs_err_vs_true,true_0,golden_0,hw_0,abs_err_vs_golden_0,abs_err_vs_true_0,true_1,golden_1,hw_1,abs_err_vs_golden_1,abs_err_vs_true_1,true_2,golden_2,hw_2,abs_err_vs_golden_2,abs_err_vs_true_2,true_3,golden_3,hw_3,abs_err_vs_golden_3,abs_err_vs_true_3,true_4,golden_4,hw_4,abs_err_vs_golden_4,abs_err_vs_true_4,true_5,golden_5,hw_5,abs_err_vs_golden_5,abs_err_vs_true_5,true_6,golden_6,hw_6,abs_err_vs_golden_6,abs_err_vs_true_6
0,4,FP64,2.500000e-03,3600,12142573,1.392959e+01,6.780877e-02,3.9208e+00,1.6497e+00,3.9365e+00,1.6275e+00,2.70428584,2.68858387,-1.23220859,3.9208e+00,3.9365e+00,1.39196365,1.35231809,3.18302348,1.8307e+00,1.7911e+00,0.59195091,0.63855130,-0.29271677,9.3127e-01,8.8467e-01,-2.06388816,-2.03698592,-2.76807326,7.3109e-01,7.0419e-01,-2.06403288,-2.07759555,-1.24294830,8.3465e-01,8.2108e-01,,,,,,,,,,
0,4,FP32,2.500000e-03,3600,12142573,1.392959e+01,6.780877e-02,3.9208e+00,1.6497e+00,3.9365e+00,1.6275e+00,2.70428584,2.68858387,-1.23220861,3.9208e+00,3.9365e+00,1.39196365,1.35231809,3.18302369,1.8307e+00,1.7911e+00,0.59195091,0.63855130,-0.29271641,9.3127e-01,8.8467e-01,-2.06388816,-2.03698592,-2.76807332,7.3109e-01,7.0419e-01,-2.06403288,-2.07759555,-1.24294829,8.3465e-01,8.2108e-01,,,,,,,,,,
0,4,FP16,2.500000e-03,3600,12142573,1.523922e+01,6.780877e-02,3.5616e+00,1.5529e+00,3.5773e+00,1.5307e+00,2.70428584,2.68858387,-0.87304688,3.5616e+00,3.5773e+00,1.39196365,1.35231809,2.00000000,6.4768e-01,6.0804e-01,0.59195091,0.63855130,-1.44335938,2.0819e+00,2.0353e+00,-2.06388816,-2.03698592,-2.31835938,2.8137e-01,2.5447e-01,-2.06403288,-2.07759555,-0.88574219,1.1919e+00,1.1783e+00,,,,,,,,,,
0,4,FP16ALT,2.500000e-03,3600,12142573,1.795949e+01,6.780877e-02,3.4112e+00,2.0205e+00,3.4269e+00,2.0249e+00,2.70428584,2.68858387,-0.72265625,3.4112e+00,3.4269e+00,1.39196365,1.35231809,-0.97656250,2.3289e+00,2.3685e+00,0.59195091,0.63855130,-1.50781250,2.1464e+00,2.0998e+00,-2.06388816,-2.03698592,-1.14843750,8.8855e-01,9.1545e-01,-2.06403288,-2.07759555,-0.75000000,1.3276e+00,1.3140e+00,,,,,,,,,,
1,3,FP64,1.000000e-02,900,1974092,1.020096e-01,9.313033e-02,1.5440e-01,7.1000e-02,1.4787e-01,6.4241e-02,-0.24450665,-0.26506432,-0.21735293,4.7711e-02,2.7154e-02,-0.99774833,-1.00427951,-0.84988294,1.5440e-01,1.4787e-01,-2.14279909,-2.14148385,-2.16800491,2.6521e-02,2.5206e-02,0.90533084,0.90396278,0.84859331,5.5369e-02,5.6738e-02,,,,,,,,,,,,,,,
1,3,FP32,1.000000e-02,900,1974092,1.020096e-01,9.313033e-02,1.5440e-01,7.1000e-02,1.4787e-01,6.4241e-02,-0.24450665,-0.26506432,-0.21735308,4.7711e-02,2.7154e-02,-0.99774833,-1.00427951,-0.84988278,1.5440e-01,1.4787e-01,-2.14279909,-2.14148385,-2.16800499,2.6521e-02,2.5206e-02,0.90533084,0.90396278,0.84859329,5.5369e-02,5.6738e-02,,,,,,,,,,,,,,,
1,3,FP16,1.000000e-02,900,1974092,1.045805e-01,9.313033e-02,1.8885e-01,7.4339e-02,1.8232e-01,7.8517e-02,-0.24450665,-0.26506432,-0.28955078,2.4486e-02,4.5044e-02,-0.99774833,-1.00427951,-0.81542969,1.8885e-01,1.8232e-01,-2.14279909,-2.14148385,-2.12695312,1.4531e-02,1.5846e-02,0.90533084,0.90396278,0.83447266,6.9490e-02,7.0858e-02,,,,,,,,,,,,,,,
1,3,FP16ALT,1.000000e-02,900,1974092,4.041027e-01,9.313033e-02,7.5056e-01,4.2761e-01,7.7112e-01,4.3179e-01,-0.24450665,-0.26506432,-1.01562500,7.5056e-01,7.7112e-01,-0.99774833,-1.00427951,-0.55468750,4.4959e-01,4.4306e-01,-2.14279909,-2.14148385,-1.79687500,3.4461e-01,3.4592e-01,0.90533084,0.90396278,0.73828125,1.6568e-01,1.6705e-01,,,,,,,,,,,,,,,
2,5,FP64,6.250000e-04,10000,47984799,3.901510e+03,1.998869e-01,7.8743e+01,3.8343e+01,7.8093e+01,3.7704e+01,2.81945911,2.41890001,25.45056088,2.3032e+01,2.2631e+01,1.99465584,0.78827208,18.44700993,1.7659e+01,1.6452e+01,-1.72596534,-1.07568241,-79.81862626,7.8743e+01,7.8093e+01,-1.90905020,-0.73157665,-64.21053648,6.3479e+01,6.2301e+01,-1.89957294,-2.06484274,25.34338440,2.7408e+01,2.7243e+01,-1.17454654,-1.41017072,18.32873854,1.9739e+01,1.9503e+01,,,,,
2,5,FP32,6.250000e-04,10000,47984799,3.901509e+03,1.998869e-01,7.8743e+01,3.8343e+01,7.8093e+01,3.7704e+01,2.81945911,2.41890001,25.45058441,2.3032e+01,2.2631e+01,1.99465584,0.78827208,18.44701385,1.7659e+01,1.6452e+01,-1.72596534,-1.07568241,-79.81873322,7.8743e+01,7.8093e+01,-1.90905020,-0.73157665,-64.21056366,6.3479e+01,6.2302e+01,-1.89957294,-2.06484274,25.34340858,2.7408e+01,2.7243e+01,-1.17454654,-1.41017072,18.32874298,1.9739e+01,1.9503e+01,,,,,
2,5,FP16,6.250000e-04,10000,47984799,2.385778e+02,1.998869e-01,1.4924e+01,7.1985e+00,1.4274e+01,6.5592e+00,2.81945911,2.41890001,3.92382812,1.5049e+00,1.1044e+00,1.99465584,0.78827208,3.14062500,2.3524e+00,1.1460e+00,-1.72596534,-1.07568241,-16.00000000,1.4924e+01,1.4274e+01,-1.90905020,-0.73157665,-14.66406250,1.3932e+01,1.2755e+01,-1.89957294,-2.06484274,3.89062500,5.9555e+00,5.7902e+00,-1.17454654,-1.41017072,3.11132812,4.5215e+00,4.2859e+00,,,,,
2,5,FP16ALT,6.250000e-04,10000,47984799,1.261482e+01,1.998869e-01,3.8486e+00,1.3096e+00,4.2491e+00,1.7562e+00,2.81945911,2.41890001,-1.42968750,3.8486e+00,4.2491e+00,1.99465584,0.78827208,-1.40625000,2.1945e+00,3.4009e+00,-1.72596534,-1.07568241,-1.48437500,4.0869e-01,2.4159e-01,-1.90905020,-0.73157665,0.03515625,7.6673e-01,1.9442e+00,-1.89957294,-2.06484274,-1.42968750,6.3516e-01,4.6989e-01,-1.17454654,-1.41017072,-1.40625000,3.9207e-03,2.3170e-01,,,,,
3,6,FP64,1.562500e-04,10000,64696470,9.976900e+40,3.242206e-01,5.3740e+19,3.3970e+19,5.3740e+19,3.3970e+19,-2.95760217,-2.16268086,-53739671060904067072.00000000,5.3740e+19,5.3740e+19,-2.86162545,-1.92295736,-35605131877034524672.00000000,3.5605e+19,3.5605e+19,0.14864796,-1.44264159,9873569515267686400.00000000,9.8736e+18,9.8736e+18,-0.60083417,-1.21842573,39633353384922595328.00000000,3.9633e+19,3.9633e+19,-2.72000602,-1.87305742,-53595262092158885888.00000000,5.3595e+19,5.3595e+19,2.84253311,2.93853056,-35081926874265305088.00000000,3.5082e+19,3.5082e+19,-1.60337196,-1.73025243,10258026803723223040.00000000,1.0258e+19,1.0258e+19
3,6,FP32,1.562500e-04,10000,64696470,9.976806e+40,3.242206e-01,5.3739e+19,3.3969e+19,5.3739e+19,3.3969e+19,-2.95760217,-2.16268086,-53739457640296087552.00000000,5.3739e+19,5.3739e+19,-2.86162545,-1.92295736,-35604977067898175488.00000000,3.5605e+19,3.5605e+19,0.14864796,-1.44264159,9873534153079652352.00000000,9.8735e+18,9.8735e+18,-0.60083417,-1.21842573,39633216037139251200.00000000,3.9633e+19,3.9633e+19,-2.72000602,-1.87305742,-53595047783103987712.00000000,5.3595e+19,5.3595e+19,2.84253311,2.93853056,-35081774459820965888.00000000,3.5082e+19,3.5082e+19,-1.60337196,-1.73025243,10257989388847808512.00000000,1.0258e+19,1.0258e+19
3,6,FP16,1.562500e-04,10000,64696470,nan,3.242206e-01,nan,nan,nan,nan,-2.95760217,-2.16268086,nan,nan,nan,-2.86162545,-1.92295736,nan,nan,nan,0.14864796,-1.44264159,nan,nan,nan,-0.60083417,-1.21842573,nan,nan,nan,-2.72000602,-1.87305742,nan,nan,nan,2.84253311,2.93853056,nan,nan,nan,-1.60337196,-1.73025243,nan,nan,nan
3,6,FP16ALT,1.562500e-04,10000,64696470,1.881605e+50,3.242206e-01,2.1723e+24,1.3469e+24,2.1723e+24,1.3469e+24,-2.95760217,-2.16268086,-2172288582120036798300160.00000000,2.1723e+24,2.1723e+24,-2.86162545,-1.92295736,-1463933609689590016245760.00000000,1.4639e+24,1.4639e+24,0.14864796,-1.44264159,384872868353876084916224.00000000,3.8487e+23,3.8487e+23,-0.60083417,-1.21842573,1397820478929414983254016.00000000,1.3978e+24,1.3978e+24,-2.72000602,-1.87305742,-2162843849154297507872768.00000000,2.1628e+24,2.1628e+24,2.84253311,2.93853056,-1445044143758111435390976.00000000,1.4450e+24,1.4450e+24,-1.60337196,-1.73025243,401401151043919843164160.00000000,4.0140e+23,4.0140e+23
4,6,FP64,1.562500e-04,10000,64696470,6.068119e+40,4.070676e-01,4.1911e+19,2.6492e+19,4.1911e+19,2.6492e+19,1.71105577,1.16842972,-41910635258576658432.00000000,4.1911e+19,4.1911e+19,-1.80195731,-0.67300512,-27767823396997431296.00000000,2.7768e+19,2.7768e+19,0.08540663,-0.52455854,7700225224408434688.00000000,7.7002e+18,7.7002e+18,0.55448741,-0.32091568,30909363325042761728.00000000,3.0909e+19,3.0909e+19,-2.72129752,-1.77124290,-41798013214234640384.00000000,4.1798e+19,4.1798e+19,0.64526911,0.80464070,-27359784910649569280.00000000,2.7360e+19,2.7360e+19,-1.97685526,-2.18432087,8000056780331068416.00000000,8.0001e+18,8.0001e+18
4,6,FP32,1.562500e-04,10000,64696470,6.068109e+40,4.070676e-01,4.1911e+19,2.6492e+19,4.1911e+19,2.6492e+19,1.71105577,1.16842972,-41910572899100524544.00000000,4.1911e+19,4.1911e+19,-1.80195731,-0.67300512,-27767796723575947264.00000000,2.7768e+19,2.7768e+19,0.08540663,-0.52455854,7700212531582730240.00000000,7.7002e+18,7.7002e+18,0.55448741,-0.32091568,30909321346457534464.00000000,3.0909e+19,3.0909e+19,-2.72129752,-1.77124290,-41797952122090684416.00000000,4.1798e+19,4.1798e+19,0.64526911,0.80464070,-27359759162415251456.00000000,2.7360e+19,2.7360e+19,-1.97685526,-2.18432087,8000043854919106560.00000000,8.0000e+18,8.0000e+18
4,6,FP16,1.562500e-04,10000,64696470,nan,4.070676e-01,nan,nan,nan,nan,1.71105577,1.16842972,nan,nan,nan,-1.80195731,-0.67300512,nan,nan,nan,0.08540663,-0.52455854,nan,nan,nan,0.55448741,-0.32091568,nan,nan,nan,-2.72129752,-1.77124290,nan,nan,nan,0.64526911,0.80464070,nan,nan,nan,-1.97685526,-2.18432087,nan,nan,nan
4,6,FP16ALT,1.562500e-04,10000,64696470,1.742878e+50,4.070676e-01,1.9173e+24,1.2059e+24,1.9173e+24,1.2059e+24,1.71105577,1.16842972,-1917280792045075956760576.00000000,1.9173e+24,1.9173e+24,-1.80195731,-0.67300512,-1378931012997936402399232.00000000,1.3789e+24,1.3789e+24,0.08540663,-0.52455854,306953821386526938890240.00000000,3.0695e+23,3.0695e+23,0.55448741,-0.32091568,1246704751477586336415744.00000000,1.2467e+24,1.2467e+24,-2.72129752,-1.77124290,-1907836059079336666333184.00000000,1.9078e+24,1.9078e+24,0.64526911,0.80464070,-1360041547066457821544448.00000000,1.3600e+24,1.3600e+24,-1.97685526,-2.18432087,323482104076570697138176.00000000,3.2348e+23,3.2348e+23
5,2,FP64,1.000000e-02,900,1130756,9.107539e-02,9.038988e-02,3.2989e-02,1.4054e-02,9.3437e-02,5.7990e-02,2.69331322,2.75376063,2.78675004,3.2989e-02,9.3437e-02,2.79379220,2.86839321,2.87243965,4.0464e-03,7.8647e-02,1.85038409,1.85362463,1.84849770,5.1269e-03,1.8864e-03,,,,,,,,,,,,,,,,,,,,
5,2,FP32,1.000000e-02,900,1130756,9.107539e-02,9.038988e-02,3.2989e-02,1.4054e-02,9.3437e-02,5.7990e-02,2.69331322,2.75376063,2.78674984,3.2989e-02,9.3437e-02,2.79379220,2.86839321,2.87243986,4.0466e-03,7.8648e-02,1.85038409,1.85362463,1.84849775,5.1269e-03,1.8863e-03,,,,,,,,,,,,,,,,,,,,
5,2,FP16,1.000000e-02,900,1130756,1.043654e-01,9.038988e-02,9.9464e-02,7.8615e-02,1.4957e-01,8.4413e-02,2.69331322,2.75376063,2.65429688,9.9464e-02,3.9016e-02,2.79379220,2.86839321,2.94335938,7.4966e-02,1.4957e-01,1.85038409,1.85362463,1.91503906,6.1414e-02,6.4655e-02,,,,,,,,,,,,,,,,,,,,
5,2,FP16ALT,1.000000e-02,900,1130756,3.764731e-01,9.038988e-02,7.5376e-01,4.1162e-01,6.9331e-01,4.1742e-01,2.69331322,2.75376063,2.00000000,7.5376e-01,6.9331e-01,2.79379220,2.86839321,2.98437500,1.1598e-01,1.9058e-01,1.85038409,1.85362463,2.21875000,3.6513e-01,3.6837e-01,,,,,,,,,,,,,,,,,,,,
7,4,FP64,2.500000e-03,3600,12142573,4.862494e+00,7.078006e-02,2.3773e+00,9.5475e-01,2.3365e+00,9.5753e-01,-0.35908504,-0.39992389,1.97737455,2.3773e+00,2.3365e+00,-2.26777059,-2.24159913,-3.31892667,1.0773e+00,1.0512e+00,-0.02893854,0.03968800,0.46639609,4.2671e-01,4.9533e-01,-2.79366887,-2.79659692,-2.36138041,4.3522e-01,4.3229e-01,2.45592241,2.44069897,1.98350787,4.5719e-01,4.7241e-01,,,,,,,,,,
7,4,FP32,2.500000e-03,3600,12142573,4.862493e+00,7.078006e-02,2.3773e+00,9.5475e-01,2.3365e+00,9.5753e-01,-0.35908504,-0.39992389,1.97737467,2.3773e+00,2.3365e+00,-2.26777059,-2.24159913,-3.31892538,1.0773e+00,1.0512e+00,-0.02893854,0.03968800,0.46639538,4.2671e-01,4.9533e-01,-2.79366887,-2.79659692,-2.36138082,4.3522e-01,4.3229e-01,2.45592241,2.44069897,1.98350799,4.5719e-01,4.7241e-01,,,,,,,,,,
7,4,FP16,2.500000e-03,3600,12142573,5.878088e+00,7.078006e-02,2.0142e+00,9.3825e-01,1.9733e+00,9.5267e-01,-0.35908504,-0.39992389,1.61425781,2.0142e+00,1.9733e+00,-2.26777059,-2.24159913,-2.00000000,2.4160e-01,2.6777e-01,-0.02893854,0.03968800,1.59179688,1.5521e+00,1.6207e+00,-2.79366887,-2.79659692,-2.86328125,6.6684e-02,6.9612e-02,2.45592241,2.44069897,1.62402344,8.1668e-01,8.3190e-01,,,,,,,,,,
7,4,FP16ALT,2.500000e-03,3600,12142573,6.041410e+00,7.078006e-02,2.1343e+00,1.1523e+00,2.0935e+00,1.1667e+00,-0.35908504,-0.39992389,1.73437500,2.1343e+00,2.0935e+00,-2.26777059,-2.24159913,-1.00000000,1.2416e+00,1.2678e+00,-0.02893854,0.03968800,1.14843750,1.1087e+00,1.1774e+00,-2.79366887,-2.79659692,-3.37500000,5.7840e-01,5.8133e-01,2.45592241,2.44069897,1.74218750,6.9851e-01,7.1373e-01,,,,,,,,,,
8,4,FP64,2.500000e-03,3600,12142573,2.876400e+00,9.134729e-02,2.0699e+00,8.2279e-01,2.1740e+00,8.7699e-01,-1.90658347,-1.80243041,0.26745935,2.0699e+00,2.1740e+00,1.53216846,1.44560671,0.33067956,1.1149e+00,1.2015e+00,-0.44906475,-0.53807464,-0.86169974,3.2363e-01,4.1263e-01,-1.75235002,-1.73314207,-1.29022195,4.4292e-01,4.6213e-01,0.40620197,0.43415743,0.27155259,1.6260e-01,1.3465e-01,,,,,,,,,,
8,4,FP32,2.500000e-03,3600,12142573,2.876401e+00,9.134729e-02,2.0699e+00,8.2279e-01,2.1740e+00,8.7699e-01,-1.90658347,-1.80243041,0.26745969,2.0699e+00,2.1740e+00,1.53216846,1.44560671,0.33067861,1.1149e+00,1.2015e+00,-0.44906475,-0.53807464,-0.86170071,3.2363e-01,4.1264e-01,-1.75235002,-1.73314207,-1.29022145,4.4292e-01,4.6213e-01,0.40620197,0.43415743,0.27155292,1.6260e-01,1.3465e-01,,,,,,,,,,
8,4,FP16,2.500000e-03,3600,12142573,3.003185e+00,9.134729e-02,2.1059e+00,9.0862e-01,2.2101e+00,9.6281e-01,-1.90658347,-1.80243041,0.30346680,2.1059e+00,2.2101e+00,1.53216846,1.44560671,0.09100342,1.3546e+00,1.4412e+00,-0.44906475,-0.53807464,-0.95019531,4.1212e-01,5.0113e-01,-1.75235002,-1.73314207,-1.19042969,5.4271e-01,5.6192e-01,0.40620197,0.43415743,0.30639648,1.2776e-01,9.9805e-02,,,,,,,,,,
8,4,FP16ALT,2.500000e-03,3600,12142573,3.667901e+00,9.134729e-02,2.0065e+00,9.4791e-01,2.1107e+00,9.8687e-01,-1.90658347,-1.80243041,0.20410156,2.0065e+00,2.1107e+00,1.53216846,1.44560671,-0.28515625,1.7308e+00,1.8173e+00,-0.44906475,-0.53807464,-0.50000000,3.8075e-02,5.0935e-02,-1.75235002,-1.73314207,-1.00000000,7.3314e-01,7.5235e-01,0.40620197,0.43415743,0.20312500,2.3103e-01,2.0308e-01,,,,,,,,,,
9,5,FP64,6.250000e-04,10000,47984799,6.327068e+02,8.315308e-02,3.5001e+01,1.6925e+01,3.4774e+01,1.6823e+01,2.81750777,2.88695312,-10.87439851,1.3761e+01,1.3692e+01,1.65079694,1.77632489,-5.53734977,7.3137e+00,7.1881e+00,2.63699365,2.40981494,37.41098469,3.5001e+01,3.4774e+01,2.36896410,2.26065761,28.20771660,2.5947e+01,2.5839e+01,0.58739987,0.64980028,-10.83476264,1.1485e+01,1.1422e+01,2.53124541,2.55080792,-5.49152726,8.0423e+00,8.0228e+00,,,,,
9,5,FP32,6.250000e-04,10000,47984799,6.327090e+02,8.315308e-02,3.5001e+01,1.6925e+01,3.4774e+01,1.6823e+01,2.81750777,2.88695312,-10.87441730,1.3761e+01,1.3692e+01,1.65079694,1.77632489,-5.53736591,7.3137e+00,7.1882e+00,2.63699365,2.40981494,37.41104126,3.5001e+01,3.4774e+01,2.36896410,2.26065761,28.20777130,2.5947e+01,2.5839e+01,0.58739987,0.64980028,-10.83478165,1.1485e+01,1.1422e+01,2.53124541,2.55080792,-5.49154329,8.0424e+00,8.0228e+00,,,,,
9,5,FP16,6.250000e-04,10000,47984799,8.160036e+00,8.315308e-02,3.0574e+00,1.5482e+00,2.9879e+00,1.4880e+00,2.81750777,2.88695312,-0.17041016,3.0574e+00,2.9879e+00,1.65079694,1.77632489,1.88867188,1.1235e-01,2.3787e-01,2.63699365,2.40981494,5.32031250,2.9105e+00,2.6833e+00,2.36896410,2.26065761,4.00000000,1.7393e+00,1.6310e+00,0.58739987,0.64980028,-0.16467285,8.1447e-01,7.5207e-01,2.53124541,2.55080792,1.89550781,6.5530e-01,6.3574e-01,,,,,
9,5,FP16ALT,6.250000e-04,10000,47984799,1.123716e+01,8.315308e-02,1.8635e+00,6.6362e-01,1.7941e+00,6.3072e-01,2.81750777,2.88695312,1.02343750,1.8635e+00,1.7941e+00,1.65079694,1.77632489,2.59375000,8.1743e-01,9.4295e-01,2.63699365,2.40981494,2.93750000,5.2769e-01,3.0051e-01,2.36896410,2.26065761,2.64062500,3.7997e-01,2.7166e-01,0.58739987,0.64980028,1.01562500,3.6582e-01,4.2823e-01,2.53124541,2.55080792,2.57812500,2.7317e-02,4.6880e-02,,,,,
10,6,FP64,1.562500e-04,10000,64696470,3.571035e+40,2.292327e-01,3.2151e+19,2.0323e+19,3.2151e+19,2.0323e+19,-1.82410283,-1.48288205,-32150983606028349440.00000000,3.2151e+19,3.2151e+19,-2.72863627,-1.84512629,-21301582028138209280.00000000,2.1302e+19,2.1302e+19,-1.04801802,-1.19566648,5907088103657858048.00000000,5.9071e+18,5.9071e+18,-0.66793626,-1.23199945,23711557398377893888.00000000,2.3712e+19,2.3712e+19,-1.37190581,-1.42972646,-32064587647604490240.00000000,3.2065e+19,3.2065e+19,1.97242505,2.05649881,-20988562704898195456.00000000,2.0989e+19,2.0989e+19,-0.85948004,-0.84028885,6137098443027883008.00000000,6.1371e+18,6.1371e+18
10,6,FP32,1.562500e-04,10000,64696470,3.571027e+40,2.292327e-01,3.2151e+19,2.0323e+19,3.2151e+19,2.0323e+19,-1.82410283,-1.48288205,-32150951449193349120.00000000,3.2151e+19,3.2151e+19,-2.72863627,-1.84512629,-21301560044532269056.00000000,2.1302e+19,2.1302e+19,-1.04801802,-1.19566648,5907081690005635072.00000000,5.9071e+18,5.9071e+18,-0.66793626,-1.23199945,23711537800012627968.00000000,2.3712e+19,2.3712e+19,-1.37190581,-1.42972646,-32064556223529222144.00000000,3.2065e+19,3.2065e+19,1.97242505,2.05649881,-20988540079220719616.00000000,2.0989e+19,2.0989e+19,-0.85948004,-0.84028885,6137091825954979840.00000000,6.1371e+18,6.1371e+18
